Группа	Код	Наименование	Наличие	Цена1 	Цена2	Цена3	Цена4	Старая цена	Описание краткое	Описание полное	Арт. Аналогов	Штрих код
	5200	AUDI VW вкладыши шат. 1,8В 0,5	1	990	940	890	850	1110	Kolbenschmidt	87200620	CR4104 0,5=87200620	0
	5201	AUDI VW вкладыши шат. 1,8В 0,75	1	990	940	890	850	1110	Kolbenschmidt	87200630	CR4104 0,75=87200630	0
4	5202	Вкладыши шатунные 1,9TDi широкие 20мм ABL										0
	5203	AUDI/VW 1,9D вкладыши шат. широкие STD	2	810	770	730	690	910	Kolbenschmidt	77213600	77213600=71-3728/4=AEB410032=CR4182AM=CR4182CP STD	0
	5204	AUDI/VW 1,9D вкладыши шат. широкие 0,25	2	960	910	860	820	1080	Kolbenschmidt	77213610	77213610	0
	5205	AUDI/VW 1,9D вкладыши шат. широкие 0,5	2	960	910	860	820	1080	Kolbenschmidt	77213620	77213620	0
4	5206	Вкладыши шатунные 1,3-1,6B ABU										0
	5207	AUDI/VW 1,3-1.6 ABU вкладыши шат (без замка) STD	1	760	720	680	650	850	Kolbenschmidt	77307600	cr4251-000=01-3867-4=77307600=CR4251AM	0
	5208	AUDI/VW 1,3-1.6 ABU вкладыши шат (без замка) 0,25	1	880	840	800	760	990	KING	cr4251 025	cr4251-025	0
	5209	AUDI/VW 1,3-1.6 ABU вкладыши шат (без замка) 0,5	1	1120	1060	1010	960	1250	KING	cr4251 050	cr4251-050	0
4	9579	Вкладыши шатунные 1,9TD без замка										0
	9580	AUDI/VW 1,9TD AUY вкладыши шат (без замка) STD 48мм	2	6470	6150	5840	5550	7250	Kolbenschmidt	77554600	77554600=71-3904STD=AEB410130STD=CR4253XA	0
4	9828	Вкладыши шатунные 1,9TD/2,0TD VW T-5 51мм										0
	9829	AUDI/VW 1,9TD/2,0TD вкладыши шат (без замка) STD 51мм	0	3920	3720	3530	3350	4390	KING	CR460SVSTD	77555600=CR460SVSTD=61-5068-00=029PS19909000=71-3930STD	0
	9830	AUDI/VW 1,9TD/2,0TD вкладыши шат (без замка) 0,25 	1	3610	3430	3260	3100	4040	KING	CR460SV025	77555610=CR460SV025=61-5068-25=029PS19909025=71-3930 0.25	0
4	5210	Вкладыши шатунные 1,1B										0
	5212	AUDI/VW 1,1 0,25	3	1090	1040	990	940	1220	KING	CR408 0.25	cr408-025=87701610	0
	5213	AUDI/VW 1,1 0,75	1	980	930	880	840	1100	KING	CR408 0.75	cr408-075=87701630	0
	5214	AUDI/VW 1,1 1,0	1	980	930	880	840	1100	KING	CR408 1.0	cr408-100=87701640	0
